key	value	YENİSİ
24.notes.data[1]	*2:3 Since the Contact Prayers are decreed five times a day, they constitute the prime source of nourishment for our souls. Along with all other practices in Submission, the Contact Prayers were originally revealed through Abraham (21:73, 22:78). Although these five daily prayers were practiced before the revelation of the Quran, each Contact Prayer is specifically mentioned in the Quran (24:58, 11:114, 17:78, & 2:238). Appendices 1 & 15 provide physical evidence supporting all the details of the Contact Prayers, including the number of units (Rak‘aas) and the numbers of bowings, prostrations, and Tashahhuds in each prayer.	*2:3 İletişim Duaları, günde beş defa olarak hükme bağlandığından beri nefislerimiz için en önemli besin kaynağını oluşturmaktadır. Teslimiyet’ teki diğer tüm pratiklerle birlikte İletişim Duaları da ilk başta İbrahim aracılığı ile vahyedilmiştir (21:73, 22:78). Bu günlük beş vakit dua, Kuran’ın vahyedilişinden önce uygulanmasına rağmen, her bir İletişim Duasından Kuran’da özellikle bahsedilir (24:58, 11:114, 17:78 & 2:238). Ek 1 & 15, her bir namazdaki ünite sayıları (Rekâtlar) ve eğilmelerin, secdelerin ve Teşehhütlerin sayıları dâhil olmak üzere İletişim Dualarının tüm detaylarını destekleyici fiziksel delil sağlamaktadır.
24.notes.data[2]	**2:3 When God uses the plural tense, this indicates that other entities, usually the angels, are involved. When God spoke to Moses, the singular form was used (20:12-14). See Appendix 10.	**2:3 Tanrı çoğul kipi kullandığında bu, genellikle melekler olmak üzere diğer varlıkların da dahil olduğunu belirtir. Tanrı Musa ile konuştuğunda, tekil form kullanılmıştır (20:12-14). Ek 10’a bakınız.
24.notes.data[3]	*2:4 Despite severe distortions that afflicted the previous scriptures, God’s truth can still be found in them. Both the Old Testament and the New Testament still advocate absolute devotion to God ALONE (Deuteronomy 6:4-5, Mark 12:29-30). All distortions are easily detectable.	*2:4 Önceki kutsal yazıları etkileyen ciddi bozulmalara rağmen, Tanrı’nın gerçeği onlarda hâlâ bulunabilir. Hem Eski Ahit hem de Yeni Ahit, hâlâ YALNIZCA Tanrı’ya mutlak bağlılığı savunmaktadır (Yasa’nın Tekrarı 6:4-5, Markos 12:29-30). Tüm bozulmalar kolayca tespit edilebilir.
24.notes.data[4]	*2:6-7 Those who make a decision to reject God are helped in that direction; they are prevented by God from seeing any proof or guidance for as long as they maintain such a decision. The consequences of such a disastrous decision are spelled out in Verse 7.	*2:6-7 Tanrı’yı reddetme kararı alanlar bu yönde yardım görürler; böyle bir kararı sürdürdükleri sürece, herhangi bir kanıt veya kılavuz görmekten Tanrı tarafından engellenirler. Böylesi feci bir kararın sonuçları 7. ayette ayrıntılarıyla açıklanmaktadır.
25.page[0]	The Heifer (Al-Baqarah) 2:9-24	Düve (El-Bakara) 2:9-24
25.page[1]	3	3
25.sura.2.verses.9	In trying to deceive GOD and those who believe, they only deceive themselves without perceiving.	Onlar TANRI’yı ve inananları aldatmaya çalışırken, farkında olmadan sadece kendilerini aldatırlar.
25.sura.2.verses.10	In their minds there is a disease. Consequently, GOD augments their disease. They have incurred a painful retribution for their lying.	Zihinlerinde bir hastalık vardır. Sonuç olarak, TANRI onların hastalığını artırır. Yalan söylemelerinden dolayı acı veren bir azabı üzerlerine çekmişlerdir.
25.sura.2.verses.11	When they are told, “Do not commit evil,” they say, “But we are righteous!”	Onlara “Kötülük yapmayın.” denildiğinde, “Ama biz doğru olanlarız!” derler.
25.sura.2.verses.12	In fact, they are evildoers, but they do not perceive.	Aslında kötülük yapan onlar ama farkında değiller.
25.sura.2.verses.13	When they are told, “Believe like the people who believed,” they say, “Shall we believe like the fools who believed?” In fact, it is they who are fools, but they do not know.	Onlara “İnanan kimseler gibi inanın.” denildiğinde, “O inanmış budalalar gibi mi inanalım?” derler. Aslında budala olan onlar, ama bilmezler.
25.sura.2.verses.14	When they meet the believers, they say, “We believe,” but when alone with their devils, they say, “We are with you; we were only mocking.”	İnananlarla karşılaştıklarında “Biz İnanıyoruz.” derler, ama şeytanları ile baş başa kaldıklarında “Biz sizinle beraberiz; sadece alay ediyorduk.” derler.
25.sura.2.verses.15	GOD mocks them, and leads them on in their transgressions, blundering.	TANRI onları alay konusu yapar ve taşkınlıkları içinde bocalarlarken sürüklenmeye bırakır.
25.sura.2.verses.16	It is they who bought the straying, at the expense of guidance. Such trade never prospers, nor do they receive any guidance.	Rehberlik pahasına sapkınlığı satın alanlar onlardır. Asla ne böyle bir ticaret başarılı olur ne de onlar herhangi bir rehberlik alırlar. 
25.sura.2.verses.17	Their example is like those who start a fire, then, as it begins to shed light around them, GOD takes away their light, leaving them in darkness, unable to see.	Onların misali, bir ateş yakan, sonra, o etraflarını aydınlatmaya başladığında, TANRI'nın, ışıklarını alarak onları karanlıkta bırakıp göremez hâle getirdiği kimselerin durumuna benzer.
25.sura.2.verses.18	Deaf, dumb, and blind; they fail to return.	Sağır, dilsiz ve kördürler; onlar geri dönemezler.
25.sura.2.verses.19	Another example: a rainstorm from the sky in which there is darkness, thunder, and lightning. They put their fingers in their ears, to evade death. GOD is fully aware of the disbelievers.	Bir diğer misal: Gökten yağan, içinde karanlık, gök gürültüsü ve şimşek bulunan sağanaktır. Ölümden kaçmak için parmaklarıyla kulaklarını tıkarlar. TANRI inkârcıların tamamen farkındadır.
25.sura.2.verses.20	The lightning almost snatches away their eyesight. When it lights for them, they move forward, and when it turns dark, they stand still. If GOD wills, He* can take away their hearing and their eyesight. GOD is Omnipotent.	Şimşek neredeyse onların görme yetilerini kapıp götürecek.Onları aydınlattığında ilerler, karanlık çöktüğünde dururlar. TANRI irade ederse, O,* onların duyma ve görme  yetilerini alabilir. TANRI Her Şeye Gücü Yetendir.
25.sura.2.verses.21	O people, worship only your Lord— the One who created you and those before you—that you may be saved.	Ey insanlar, sadece — sizi ve sizden öncekileri yaratmış olan — Rabbinize tapın ki kurtulasınız. 
25.sura.2.verses.22	The One who made the earth habitable for you, and the sky a structure. He sends down from the sky water, to produce all kinds of fruits for your sustenance. You shall not set up idols to rival GOD, now that you know.	O ki sizin için yeryüzünü yaşanabilir kıldı ve gökyüzünü de bir yapı. Rızkınız olsun diye her türlü ürünü yetiştirmek için gökyüzünden su indirir. Madem bunu biliyorsunuz, TANRI'ya rakip putlar edinemezsiniz.
25.sura.2.verses.23	If you have any doubt regarding what we revealed to our servant,* then produce one sura like these, and call upon your own witnesses against GOD, if you are truthful.	Eğer kulumuza vahyettiğimize ilişkin bir şüpheniz varsa*, o zaman bunun gibi bir sure ortaya koyun ve TANRI'ya karşı şahitlerinizi çağırın, eğer doğru sözlü iseniz.
25.sura.2.verses.24	If you cannot do this—and you can never do this—then beware of the Hellfire, whose fuel is people and rocks; it awaits the disbelievers.	Eğer bunu yapamazsanız — ki bunu asla yapamazsınız da — o hâlde yakıtı insanlar ve taşlar olan kendisi de inkârcıları bekleyen Cehennem Ateşi'nden sakının. 
25.sura.2.titles.20	The Light of Faith 	İmanın Işığı
25.sura.2.titles.23	Mathematical Challenge 	Matematiksel Meydan Okuma
25.sura.2.titles.24	Allegorical Description of Hell 	Cehennemin Alegorik Betimlemesi
25.notes.data[0]	*2:20 “He” and “she” do not necessarily imply natural gender in Arabic (Appendix 4).	*2:20 Arapçada o zamirlerinin eril “he” veya dişil “she” olması, doğal cinsiyeti zorunlu olarak ifade etmez (Ek 4).
25.notes.data[1]	*2:23-24 The Quran’s miraculous mathematical code provides numerous proofs as it spells out the name “Rashad Khalifa” as God’s servant mentioned here. Some literary giants, including Al-Mutanabby and Taha Hussein, have answered the literary challenge, but they had no awareness of the Quran’s mathematical composition. It is the Quran’s mathematical code, revealed through God’s Messenger of the Covenant, Rashad Khalifa, that is the real challenge—for it can never be imitated. See Appendices 1, 2, 24, & 26 for the detailed proofs.	*2:23-24 Kur’an’ın mucizevi matematiksel kodu, burada Tanrı’nın kulu olarak anılan “Raşad Halife” ismini açıkça ortaya koyarak birçok kanıt sunar. Al-Mutanabby ve Taha Hüseyin gibi bazı edebi dehalar, Kur’an’ın edebi meydan okumasına yanıt vermişlerdir, ancak Kur’an’ın matematiksel yapısının farkında değillerdi. Asıl meydan okuma, Tanrı’nın Ahit Elçisi Raşad Halife aracılığıyla ortaya çıkan Kur’an’ın matematiksel kodudur—çünkü bu asla taklit edilemez. Ayrıntılı kanıtlar için Ek 1, 2, 24 & 26’ya bakınız.
26.page[0]	4	4
26.page[1]	The Heifer (Al-Baqarah) 2:25-31	Düve (El-Bakara) 2:25-31
26.sura.2.verses.25	Give good news to those who believe and lead a righteous life that they will have gardens with flowing streams. When provided with a provision of fruits therein, they will say, “This is what was provided for us previously.” Thus, they are given allegorical descriptions. They will have pure spouses therein, and they abide therein forever.	İnanan ve doğru bir hayat sürenlere, akan nehirleri olan bahçelere sahip olacaklarını müjdele. Oradaki ürünlerden bir rızık sunulduğunda onlar, “Bize daha önce sunulmuş olan da buydu” diyecekler. Böylece onlara alegorik betimlemeler yapılmaktadır. Orada tertemiz eşlere sahip olacak ve sonsuza dek kalacaklar.
26.sura.2.verses.26	GOD does not shy away from citing any kind of allegory,* from the tiny mosquito and greater. As for those who believe, they know that it is the truth from their Lord. As for those who disbelieve, they say, “What did GOD mean by such an allegory?” He misleads many thereby, and guides many thereby. But He never misleads thereby except the wicked,	TANRI küçücük sivrisinekten çok daha büyüğüne kadar her türlü alegoriden bahsetmekten çekinmez. İnananlar, onun Rablerinden gelen bir gerçek olduğunu bilirler. İnkâr edenler ise, 'TANRI böyle bir alegori ile ne demek istedi?" derler. O, böylece birçoklarını yoldan çıkarır ve birçoklarına doğru yolda rehberlik eder. Ancak O asla kötülerın dışındakileri bu şekilde yoldan çıkarmaz,
26.sura.2.verses.27	who violate GOD’s covenant after pledging to uphold it, sever what GOD has commanded to be joined, and commit evil. These are the losers.	ki onlar TANRI'nin antlaşmasına bağlı kalacaklarına dair söz verdikten sonra onu bozan, TANRI'nın birleştirilmesini emrettiği şeyi koparıp ayıran ve kötülük yapanlardır. İşte bunlar kaybedenlerdir.
26.sura.2.verses.28	How can you disbelieve in GOD when you were dead and He gave you life, then He puts you to death, then He brings you back to life, then to Him you ultimately return?	Siz ölü iken size hayat veren, sonra sizi öldüren, sonra sizi tekrar hayata döndüren O olduğu ve en nihayetinde O'na döndüğünüz hâlde TANRI'yı nasıl inkâr edersiniz? 
26.sura.2.verses.29	He is the One who created for you everything on earth, then turned to the sky and perfected seven universes therein,* and He is fully aware of all things.	Yeryüzündeki her şeyi sizin için yaratmış, sonra göğe yönelip onda yedi evreni* tamamlamış olan O'dur, ve O her şeyin tamamen farkındadır.
26.sura.2.verses.30	Recall that your Lord said to the angels, “I am placing a representative (a temporary god) on Earth.” They said, “Will You place therein one who will spread evil therein and shed blood, while we sing Your praises, glorify You, and uphold Your absolute authority?” He said, “I know what you do not know.”	Hani Rabbin meleklere, “Ben yeryüzüne bir temsilci (geçici bir tanrı) yerleştiriyorum.” demişti. Onlar, “Biz Senin övgülerini söylerken, Seni yüceltirken ve Senin mutlak otoritene bağlı kalırken, orada kötülük yayacak ve kan dökecek birini mi oraya yerleştireceksin?” dediler. O da “Ben sizin bilmediklerinizi bilirim” dedi.
26.sura.2.verses.31	He taught Adam all the names* then presented them to the angels, saying, “Give me the names of these, if you are right.”	O, Âdem'e tüm isimleri* öğretti, sonra  "Eğer haklıysanız, bunların isimlerini bana bildirin" diyerek onları meleklere de sundu.
26.sura.2.titles.25	Allegorical Description of Paradise 	Cennetin Alegorik Betimlemesi
26.sura.2.titles.28	Two Deaths and Two Lives for the Disbelievers*	İnkârcılar için İki Ölüm ve İki Hayat*
26.sura.2.titles.30	Satan: A Temporary “god”*	Şeytan: Geçici Bir “tanrı”*
26.sura.2.titles.31	The Test Begins 	Test Başlıyor
26.notes.data[0]	*2:26 See Appendix 5 for further discussion of Heaven and Hell.	*2:26 Cennet ve Cehennem’in daha ayrıntılı açıklaması için Ek 5’e bakınız.
26.notes.data[1]	*2:28 The righteous do not really die; they go straight to Heaven. When their interim on this earth comes to an end, the angels of death simply invite them to go to the same Paradise where Adam and Eve once lived (2:154, 3:169, 8:24, 22:58, 16:32, 36:20-27, 44:56, 89:27-30). Thus, while the righteous experience only the first death following our original sin, the unrighteous go through two deaths (40:11). At the time of death, the disbelievers know their miserable fate (8:50, 47:27), then they suffer a continuous nightmare that lasts until Hell is created (40:46, 89:23, Appendix 17).	*2:28 Doğrular aslında ölmezler; doğrudan Cennet’e giderler. Bu dünyadaki geçici süreleri sona erdiğinde, ölüm melekleri onları basitçe Âdem ve Havva’nın bir zamanlar yaşadığı aynı Cennet’e gitmeye davet eder (2:154, 3:169, 8:24, 22:58, 16:32, 36:20-27, 44:56, 89:27-30). Böylece, doğrular sadece ilk günahımızdan sonraki ölümü tecrübe ederlerken, doğru olmayanlar iki ölümden geçerler (40:11). Ölüm anında, inkârcılar kendi sefil akıbetlerini bilirler (8:50, 47:27); ardından, Cehennem yaratılana dek kesintisiz bir kâbusun içinde kalırlar (40:46, 89:23, Ek 17).
26.notes.data[2]	*2:29 Our universe with its billion galaxies, spanning distances of billions of light years, is the smallest and innermost of seven universes (Appendix 6). Please look up 41:10-11.	*2:29 Milyarlarca galaksiyi, milyarlarca ışık yılı mesafeleri kapsayan evrenimiz, yedi evrenin en küçüğü ve en içte olanıdır (Ek 6). Lütfen 41:10-11’e de bakınız.
26.notes.data[3]	*2:30-37 These verses answer such crucial questions as: “Why are we here?” (See Appendix 7).	*2:30-37 Bu ayetler, “Neden buradayız?” gibi çok önemli sorulara yanıt verir (Ek 7'ye bakınız).
26.notes.data[4]	*2:31 These are the names of the animals, the automobile, the submarine, the space satellite, the VCR, and all other objects to be encountered by the human beings on Earth.	*2:31 Bunlar, hayvanların, otomobilin, denizaltının, uzay uydusunun, video oynatıcının ve insanların dünyada karşılaşacağı tüm diğer nesnelerin isimleridir.
27.page[0]	The Heifer (Al-Baqarah) 2:32-48	Düve (El-Bakara) 2:32-48
27.page[1]	5	5
27.sura.2.verses.32	They said, “Be You glorified, we have no knowledge, except that which You have taught us. You are the Omniscient, Most Wise.”	Onlar, “Sana yücelik olsun. Senin bize öğrettiğinden başka bizim hiçbir bilgimiz yok. Sen Her Şeyi Bilen, En Bilge Olansın.” dediler.
27.sura.2.verses.33	He said, “O Adam, tell them their names.” When he told them their names, He said, “Did I not tell you that I know the secrets of the heavens and the earth? I know what you declare, and what you conceal.”	O, “Ey Âdem, şunların isimlerini onlara söyle.” dedi. Onlara isimlerini söyleyince, O,  “Ben size göklerin ve yeryüzünün sırlarını bildiğimi söylemedim mi? Ben sizin beyan ettiğiniz şeyi de bilirim, gizlediğiniz şeyi de.” dedi.
27.sura.2.verses.34	When we said to the angels, “Fall prostrate before Adam,” they fell prostrate, except Satan; he refused, was too arrogant, and a disbeliever.	Biz Meleklere, “Âdem’in önünde secdeye kapanın.” dediğimizde secdeye kapandılar, Şeytan hariç; o reddetti, çok kibirliydi, ve bir inkârcıydı.
27.sura.2.verses.35	We said, “O Adam, live with your wife in Paradise, and eat therefrom generously, as you please, but do not approach this tree, lest you sin.”	Biz, “Ey Âdem, Cennette eşinle birlikte oturun ve oradan istediğiniz gibi bol bol yiyin, ancak günah işlememek için şu ağaca yaklaşmayın.” dedik.
27.sura.2.verses.36	But the devil duped them, and caused their eviction therefrom. We said, “Go down as enemies of one another. On Earth shall be your habitation and provision for awhile.”	Fakat şeytan onları kandırdı ve onların oradan çıkarılmalarına yol açtı. Biz dedik ki: “Birbirinize düşman olarak aşağıya inin. İkametiniz ve rızkınız bir süre için Dünya'da olacak.”
27.sura.2.verses.37	Then, Adam received from his Lord words, whereby He redeemed him. He is the Redeemer, Most Merciful.	Sonra Âdem Rabbinden kelimeler aldı, O böylelikle onu kurtardı. O, yegâne Kurtarıcıdır, En Merhametli Olandır.
27.sura.2.verses.38	We said, “Go down therefrom, all of you. When guidance comes to you from Me, those who follow My guidance will have no fear, nor will they grieve.	Biz şöyle dedik, “Oradan aşağı inin, hepiniz. Benden size rehberlik geldiğinde, Benim rehberliğime uyanların ne bir korkusu olacak  ne de onlar üzülecekler.”
27.sura.2.verses.39	“As for those who disbelieve and reject our revelations, they will be dwellers of Hell, wherein they abide forever.”	“İnkâr edip vahiylerimizi reddedenlere gelince, onlar, içinde sonsuza dek kalacakları Cehennemin sakinleri olacaklardır.”
27.sura.2.verses.40	O Children of Israel, remember My favor, which I bestowed upon you, and fulfill your part of the covenant, that I fulfill My part of the covenant, and reverence Me.	Ey İsrailoğulları, Benim size ihsan ettiğim iyiliğimi hatırlayın. Antlaşmanın size düşen kısmını yerine getirin ki Ben de antlaşmanın Bana düşen kısmını yerine getireyim. Bana derin saygı duyun.
27.sura.2.verses.41	You shall believe in what I have revealed herein, confirming what you have; do not be the first to reject it. Do not trade away My revelations for a cheap price, and observe Me.	Elinizde bulunanları doğrulayan, burada vahyetmiş olduğuma inanın; onu ilk reddeden siz olmayın. Benim vahiylerimi değmeyen bir fiyata satmayın ve Beni gözetin.
27.sura.2.verses.42	Do not confound the truth with falsehood, nor shall you conceal the truth, knowingly.	Hakikate yalanı karıştırmayın ve bilerek hakikati gizlemeyin.
27.sura.2.verses.43	You shall observe the Contact Prayers (Salat) and give the obligatory charity (Zakat), and bow down with those who bow down.	İletişim Dualarını (Namazı) yerine getirin, zorunlu bağışı (Zekâtı) verin ve rükû edenlerle rükû edin.
27.sura.2.verses.44	Do you exhort the people to be righteous, while forgetting yourselves, though you read the scripture? Do you not understand?	Kutsal yazıyı okumanıza rağmen, kendinizi unutup insanlara doğru olmaları için öğüt mü veriyorsunuz? Anlamıyor musunuz?
27.sura.2.verses.45	You shall seek help through steadfastness and the Contact Prayers (Salat). This is difficult indeed, but not so for the reverent,	Metanetle ve İletişim Dualarıyla (Namazlarla) yardım talebinde bulunun. Bu gerçekten de zordur, ancak derin saygı duyanlar için değil,
27.sura.2.verses.46	who believe that they will meet their Lord; that to Him they ultimately return.	ki onlar Rableriyle buluşacaklarına ve en nihayetinde O'na geri döneceklerine inanırlar.
27.sura.2.verses.47	O Children of Israel, remember My favor which I bestowed upon you, and that I blessed you more than any other people.	Ey İsrailoğulları, Benim size ihsan ettiğim iyiliğimi ve sizi diğer tüm halklardan daha fazla nimetlendirdiğimi hatırlayın.
27.sura.2.verses.48	Beware of the day when no soul can avail another soul, no intercession will be accepted, no ransom can be paid, nor can anyone be helped.	Hiçbir nefsin bir başka nefse fayda sağlayamayacağı, hiçbir şefaatin kabul edilmeyeceği, hiçbir fidyenin ödenemeyeceği ve hiç kimseye yardım edilemeyeceği o günden sakının.
27.sura.2.titles.37	Specific Words*	Spesifik Kelimeler*
